branch_customer_id,preference,category,note,confidence,source
cust-001,厚切りタン塩,meat,毎回必ず注文,1.0,manual
cust-001,窓際席希望,seating,景色を楽しみたい,1.0,booking
cust-002,個室希望,seating,子供が騒ぐため,1.0,booking
cust-002,子供用椅子必要,facility,3歳のお子様,1.0,manual
cust-004,最高級和牛コース,meat,接待・記念日用,1.0,manual
cust-004,シャンパン好き,drinks,お祝い時に注文,0.9,chat
cust-006,レア焼き,cooking,生に近い状態が好き,1.0,manual
cust-006,ハラミ,meat,脂身少なめが好み,1.0,chat
cust-007,甲殻類アレルギー,allergy,エビ・カニNG,1.0,manual
cust-008,赤ワイン好き,drinks,ボルドー系希望,1.0,manual
cust-008,記念日利用,occasion,年に3回程度,0.85,chat
cust-010,大人数宴会,occasion,10名以上でよく予約,1.0,booking
cust-010,飲み放題プラン,drinks,必ず利用,1.0,manual
cust-012,静かな席,seating,カップルでデート,1.0,booking
cust-013,キムチ追加,side,辛いもの好き,0.8,chat
cust-014,接待利用,occasion,会社経費,1.0,manual
cust-014,上質な部位のみ,meat,予算は気にしない,1.0,manual
cust-017,写真撮影OK,other,インスタ投稿,0.9,chat
cust-018,創業時から常連,loyalty,特別対応必要,1.0,manual
cust-018,VIPルーム,seating,プライバシー重視,1.0,booking
cust-020,禁煙席,seating,匂いに敏感,1.0,booking
cust-022,持ち込みケーキOK,other,誕生日対応済,1.0,manual
cust-024,子供メニュー,kids,お子様ランチ希望,1.0,manual
cust-026,ロマンチックな席,seating,カップル席,1.0,booking
cust-026,デザート盛り合わせ,dessert,記念日用,0.9,chat
cust-028,ホルモン系,meat,通なオーダー,0.85,chat
cust-030,ワイン会,occasion,月1回開催,1.0,manual
cust-030,個室12名,seating,ワイン持ち込み可,1.0,booking
cust-032,タンパク質重視,diet,アスリート食,1.0,manual
cust-032,サラダ大盛り,side,野菜多め,0.9,chat
cust-035,日本酒詳しい,drinks,銘柄指定あり,1.0,manual
cust-036,英語メニュー,language,外国人ゲスト対応,1.0,booking
cust-037,ベビーカー,facility,赤ちゃん連れ,1.0,booking
cust-039,女子会,occasion,4-6名グループ,0.9,chat
cust-039,サラダ多め,side,ヘルシー志向,0.85,chat
cust-040,年末年始予約,occasion,毎年恒例,1.0,manual
cust-044,領収書必要,payment,法人利用,1.0,manual
cust-044,個室希望,seating,ビジネス会食,1.0,booking
cust-045,アニバーサリープレート,occasion,サプライズ演出,1.0,booking
cust-050,毎月来店,loyalty,ポイント会員,1.0,manual
cust-050,特上盛り合わせ,meat,定番注文,0.95,chat
cust-054,生ビール好き,drinks,ジョッキで大量,0.9,chat
cust-056,大家族,seating,6名以上テーブル,1.0,booking
cust-060,金曜夜常連,timing,週末利用,1.0,manual
cust-066,新年会幹事,occasion,毎年予約,1.0,manual
cust-068,冷麺ファン,side,夏限定メニュー,0.85,chat
cust-070,VIP個室,seating,社長対応,1.0,manual
cust-070,高級コース,meat,接待利用,1.0,manual
cust-074,スポーツ観戦,occasion,テレビ席希望,0.9,booking
cust-077,韓国料理通,cuisine,ビビンバ注文多,0.8,chat
cust-079,クリスマス,occasion,毎年予約,1.0,manual
cust-083,プロポーズ,occasion,サプライズ成功！,1.0,manual
cust-085,地元団体,occasion,祭り打ち上げ,0.9,booking
cust-089,乳製品アレルギー,allergy,チーズNG,1.0,manual
cust-090,経営者会食,occasion,月2回程度,1.0,manual
cust-094,忘年会,occasion,毎年12月予約,1.0,manual
cust-099,口コミ投稿,loyalty,高評価レビュー,1.0,manual
